DATE_PST,DATE,TIME,STATION_NAME,STATION_NAME_FULL,EMS_ID,NAPS_ID,RAW_VALUE,ROUNDED_VALUE,UNIT,INSTRUMENT,PARAMETER,OWNER,REGION
1/2/2017 3:00,1/2/2017,3:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,18.95078,19,ppb,NA,O3,MVRD,02 - Lower Mainland
1/2/2017 4:00,1/2/2017,4:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,,,ppb,NA,O3,MVRD,02 - Lower Mainland
1/2/2017 5:00,1/2/2017,5:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,16.37281,16.4,ppb,NA,O3,MVRD,02 - Lower Mainland
1/2/2017 6:00,1/2/2017,6:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,17.29339,17.3,ppb,NA,O3,MVRD,02 - Lower Mainland
1/2/2017 7:00,1/2/2017,7:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,24.66514,24.7,ppb,NA,O3,MVRD,02 - Lower Mainland
1/2/2017 8:00,1/2/2017,8:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,17.08206,17.1,ppb,NA,O3,MVRD,02 - Lower Mainland
1/2/2017 9:00,1/2/2017,9:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,15.22869,15.2,ppb,NA,O3,MVRD,02 - Lower Mainland
1/2/2017 10:00,1/2/2017,10:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,20.78972,20.8,ppb,NA,O3,MVRD,02 - Lower Mainland
1/2/2017 11:00,1/2/2017,11:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,28.08892,28.1,ppb,NA,O3,MVRD,02 - Lower Mainland
1/2/2017 12:00,1/2/2017,12:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,32.85742,32.9,ppb,NA,O3,MVRD,02 - Lower Mainland
1/2/2017 13:00,1/2/2017,13:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,33.26261,33.3,ppb,NA,O3,MVRD,02 - Lower Mainland
1/2/2017 14:00,1/2/2017,14:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,33.71595,33.7,ppb,NA,O3,MVRD,02 - Lower Mainland
1/2/2017 15:00,1/2/2017,15:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,34.19625,34.2,ppb,NA,O3,MVRD,02 - Lower Mainland
1/2/2017 16:00,1/2/2017,16:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,32.8025,32.8,ppb,NA,O3,MVRD,02 - Lower Mainland
1/2/2017 17:00,1/2/2017,17:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,27.31592,27.3,ppb,NA,O3,MVRD,02 - Lower Mainland
1/2/2017 18:00,1/2/2017,18:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,14.97933,15,ppb,NA,O3,MVRD,02 - Lower Mainland
1/2/2017 19:00,1/2/2017,19:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,5.496205,5.5,ppb,NA,O3,MVRD,02 - Lower Mainland
1/2/2017 20:00,1/2/2017,20:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,2.177508,2.2,ppb,NA,O3,MVRD,02 - Lower Mainland
1/2/2017 21:00,1/2/2017,21:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,7.084653,7.1,ppb,NA,O3,MVRD,02 - Lower Mainland
1/2/2017 22:00,1/2/2017,22:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,15.71251,15.7,ppb,NA,O3,MVRD,02 - Lower Mainland
1/2/2017 23:00,1/2/2017,23:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,16.74108,16.7,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 0:00,1/2/2017,24:00:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,21.94606,21.9,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 1:00,1/3/2017,1:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,27.84611,27.8,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 2:00,1/3/2017,2:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,21.608,21.6,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 3:00,1/3/2017,3:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,21.10736,21.1,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 4:00,1/3/2017,4:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,21.7895,21.8,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 5:00,1/3/2017,5:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,11.58001,11.6,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 6:00,1/3/2017,6:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,14.28586,14.3,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 7:00,1/3/2017,7:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,12.37689,12.4,ppb,NA,O3,MVRD,02 - Lower Mainland
1/3/2017 8:00,1/3/2017,8:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,3.211161,3.2,ppb,NA,O3,MVRD,02 - Lower Mainland
